locus_tag	ftype	length_bp	gene	EC_number	COG	product
BOLPKDDJ_00025	CDS	825	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
BOLPKDDJ_00026	gene	987				
BOLPKDDJ_00026	mRNA	987				
BOLPKDDJ_00026	CDS	987				hypothetical protein
BOLPKDDJ_00027	gene	1287	prsA			
BOLPKDDJ_00027	mRNA	1287	prsA			
BOLPKDDJ_00027	CDS	1287	prsA	5.2.1.8		Foldase protein PrsA
BOLPKDDJ_00028	gene	384				
BOLPKDDJ_00028	mRNA	384				
BOLPKDDJ_00028	CDS	384				hypothetical protein
BOLPKDDJ_00029	gene	1554				
BOLPKDDJ_00029	mRNA	1554				
BOLPKDDJ_00029	CDS	1554			COG0659	putative sulfate transporter
BOLPKDDJ_00030	gene	924				
BOLPKDDJ_00030	mRNA	924				
BOLPKDDJ_00030	CDS	924				hypothetical protein
BOLPKDDJ_00031	gene	1512	betC			
BOLPKDDJ_00031	mRNA	1512	betC			
BOLPKDDJ_00031	CDS	1512	betC	3.1.6.6	COG3119	Choline-sulfatase
BOLPKDDJ_00032	gene	900	gcvA_1			
BOLPKDDJ_00032	mRNA	900	gcvA_1			
BOLPKDDJ_00032	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
BOLPKDDJ_00033	gene	378				
BOLPKDDJ_00033	mRNA	378				
BOLPKDDJ_00033	CDS	378				hypothetical protein
BOLPKDDJ_00034	gene	366				
BOLPKDDJ_00034	mRNA	366				
BOLPKDDJ_00034	CDS	366				hypothetical protein
BOLPKDDJ_00035	gene	624				
BOLPKDDJ_00035	mRNA	624				
BOLPKDDJ_00035	CDS	624			COG2197	Putative transcriptional regulator
BOLPKDDJ_00036	gene	807	trpA			
BOLPKDDJ_00036	mRNA	807	trpA			
BOLPKDDJ_00036	CDS	807	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
BOLPKDDJ_00037	gene	1209	trpB			
BOLPKDDJ_00037	mRNA	1209	trpB			
BOLPKDDJ_00037	CDS	1209	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
BOLPKDDJ_00038	gene	888	trpI_1			
BOLPKDDJ_00038	mRNA	888	trpI_1			
BOLPKDDJ_00038	CDS	888	trpI_1			HTH-type transcriptional regulator TrpI
BOLPKDDJ_00039	gene	216				
BOLPKDDJ_00039	mRNA	216				
BOLPKDDJ_00039	CDS	216			COG3360	Dodecin
BOLPKDDJ_00040	gene	222				
BOLPKDDJ_00040	mRNA	222				
BOLPKDDJ_00040	CDS	222				hypothetical protein
BOLPKDDJ_00041	gene	1689				
BOLPKDDJ_00041	mRNA	1689				
BOLPKDDJ_00041	CDS	1689				hypothetical protein
BOLPKDDJ_00042	gene	10608				
BOLPKDDJ_00042	mRNA	10608				
BOLPKDDJ_00042	CDS	10608				hypothetical protein
BOLPKDDJ_00043	gene	702				
BOLPKDDJ_00043	mRNA	702				
BOLPKDDJ_00043	CDS	702				hypothetical protein
BOLPKDDJ_00044	gene	195				
BOLPKDDJ_00044	mRNA	195				
BOLPKDDJ_00044	CDS	195				hypothetical protein
BOLPKDDJ_00045	gene	279				
BOLPKDDJ_00045	mRNA	279				
BOLPKDDJ_00045	CDS	279				hypothetical protein
BOLPKDDJ_00046	gene	396				
BOLPKDDJ_00046	mRNA	396				
BOLPKDDJ_00046	CDS	396				hypothetical protein
BOLPKDDJ_00047	gene	1254				
BOLPKDDJ_00047	mRNA	1254				
BOLPKDDJ_00047	CDS	1254				hypothetical protein
BOLPKDDJ_00048	gene	1374				
BOLPKDDJ_00048	mRNA	1374				
BOLPKDDJ_00048	CDS	1374				hypothetical protein
BOLPKDDJ_00049	gene	687				
BOLPKDDJ_00049	mRNA	687				
BOLPKDDJ_00049	CDS	687			COG1462	Putative lipoprotein/NMB1164
BOLPKDDJ_00050	gene	354				
BOLPKDDJ_00050	mRNA	354				
BOLPKDDJ_00050	CDS	354				hypothetical protein
BOLPKDDJ_00051	gene	666				
BOLPKDDJ_00051	mRNA	666				
BOLPKDDJ_00051	CDS	666			COG4380	Putative lipoprotein/NMB1162
BOLPKDDJ_00052	gene	384				
BOLPKDDJ_00052	mRNA	384				
BOLPKDDJ_00052	CDS	384				hypothetical protein
BOLPKDDJ_00053	gene	1662				
BOLPKDDJ_00053	mRNA	1662				
BOLPKDDJ_00053	CDS	1662				putative protein
BOLPKDDJ_00054	gene	141				
BOLPKDDJ_00054	mRNA	141				
BOLPKDDJ_00054	CDS	141				hypothetical protein
BOLPKDDJ_00055	gene	138				
BOLPKDDJ_00055	mRNA	138				
BOLPKDDJ_00055	CDS	138				hypothetical protein
BOLPKDDJ_00056	gene	1833	asnO_1			
BOLPKDDJ_00056	mRNA	1833	asnO_1			
BOLPKDDJ_00056	CDS	1833	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
BOLPKDDJ_00057	gene	429				
BOLPKDDJ_00057	mRNA	429				
BOLPKDDJ_00057	CDS	429				hypothetical protein
BOLPKDDJ_00058	gene	171				
BOLPKDDJ_00058	mRNA	171				
BOLPKDDJ_00058	CDS	171				hypothetical protein
BOLPKDDJ_00059	gene	135				
BOLPKDDJ_00059	mRNA	135				
BOLPKDDJ_00059	CDS	135				hypothetical protein
BOLPKDDJ_00060	gene	255				
BOLPKDDJ_00060	mRNA	255				
BOLPKDDJ_00060	CDS	255				hypothetical protein
BOLPKDDJ_00061	gene	549	kptA			
BOLPKDDJ_00061	mRNA	549	kptA			
BOLPKDDJ_00061	CDS	549	kptA	2.7.1.-	COG1859	putative RNA 2'-phosphotransferase
BOLPKDDJ_00062	gene	507				
BOLPKDDJ_00062	mRNA	507				
BOLPKDDJ_00062	CDS	507				hypothetical protein
BOLPKDDJ_00063	gene	921	dmlR_1			
BOLPKDDJ_00063	mRNA	921	dmlR_1			
BOLPKDDJ_00063	CDS	921	dmlR_1			HTH-type transcriptional regulator DmlR
BOLPKDDJ_00064	gene	888				
BOLPKDDJ_00064	mRNA	888				
BOLPKDDJ_00064	CDS	888				hypothetical protein
BOLPKDDJ_00065	gene	705				
BOLPKDDJ_00065	mRNA	705				
BOLPKDDJ_00065	CDS	705				hypothetical protein
BOLPKDDJ_00066	gene	426	osmC			
BOLPKDDJ_00066	mRNA	426	osmC			
BOLPKDDJ_00066	CDS	426	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
BOLPKDDJ_00067	gene	234				
BOLPKDDJ_00067	mRNA	234				
BOLPKDDJ_00067	CDS	234				hypothetical protein
BOLPKDDJ_00068	gene	438				
BOLPKDDJ_00068	mRNA	438				
BOLPKDDJ_00068	CDS	438				hypothetical protein
BOLPKDDJ_00069	gene	417				
BOLPKDDJ_00069	mRNA	417				
BOLPKDDJ_00069	CDS	417				hypothetical protein
BOLPKDDJ_00070	gene	1128				
BOLPKDDJ_00070	mRNA	1128				
BOLPKDDJ_00070	CDS	1128				hypothetical protein
BOLPKDDJ_00071	gene	984				
BOLPKDDJ_00071	mRNA	984				
BOLPKDDJ_00071	CDS	984				hypothetical protein
BOLPKDDJ_00072	gene	666				
BOLPKDDJ_00072	mRNA	666				
BOLPKDDJ_00072	CDS	666		3.1.3.5	COG0546	5'-nucleotidase
BOLPKDDJ_00073	gene	543	yrdA_1			
BOLPKDDJ_00073	mRNA	543	yrdA_1			
BOLPKDDJ_00073	CDS	543	yrdA_1		COG0663	Protein YrdA
BOLPKDDJ_00074	gene	2046	prlC			
BOLPKDDJ_00074	mRNA	2046	prlC			
BOLPKDDJ_00074	CDS	2046	prlC	3.4.24.70	COG0339	Oligopeptidase A
BOLPKDDJ_00075	gene	276				
BOLPKDDJ_00075	mRNA	276				
BOLPKDDJ_00075	CDS	276				hypothetical protein
BOLPKDDJ_00076	gene	1059				
BOLPKDDJ_00076	mRNA	1059				
BOLPKDDJ_00076	CDS	1059				hypothetical protein
BOLPKDDJ_00077	gene	915				
BOLPKDDJ_00077	mRNA	915				
BOLPKDDJ_00077	CDS	915				hypothetical protein
BOLPKDDJ_00078	gene	1713				
BOLPKDDJ_00078	mRNA	1713				
BOLPKDDJ_00078	CDS	1713				hypothetical protein
BOLPKDDJ_00079	gene	1200				
BOLPKDDJ_00079	mRNA	1200				
BOLPKDDJ_00079	CDS	1200				hypothetical protein
BOLPKDDJ_00080	gene	720	macB_1			
BOLPKDDJ_00080	mRNA	720	macB_1			
BOLPKDDJ_00080	CDS	720	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
BOLPKDDJ_00081	gene	3099	pknD_1			
BOLPKDDJ_00081	mRNA	3099	pknD_1			
BOLPKDDJ_00081	CDS	3099	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
BOLPKDDJ_00082	gene	729	prpC_1			
BOLPKDDJ_00082	mRNA	729	prpC_1			
BOLPKDDJ_00082	CDS	729	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
BOLPKDDJ_00083	gene	681				
BOLPKDDJ_00083	mRNA	681				
BOLPKDDJ_00083	CDS	681				hypothetical protein
BOLPKDDJ_00084	gene	3531				
BOLPKDDJ_00084	mRNA	3531				
BOLPKDDJ_00084	CDS	3531				hypothetical protein
BOLPKDDJ_00085	gene	1350				
BOLPKDDJ_00085	mRNA	1350				
BOLPKDDJ_00085	CDS	1350				hypothetical protein
BOLPKDDJ_00086	gene	1335				
BOLPKDDJ_00086	mRNA	1335				
BOLPKDDJ_00086	CDS	1335				hypothetical protein
BOLPKDDJ_00087	gene	465				
BOLPKDDJ_00087	mRNA	465				
BOLPKDDJ_00087	CDS	465				hypothetical protein
BOLPKDDJ_00088	gene	1494				
BOLPKDDJ_00088	mRNA	1494				
BOLPKDDJ_00088	CDS	1494				hypothetical protein
BOLPKDDJ_00089	gene	1035				
BOLPKDDJ_00089	mRNA	1035				
BOLPKDDJ_00089	CDS	1035				hypothetical protein
BOLPKDDJ_00090	gene	519				
BOLPKDDJ_00090	mRNA	519				
BOLPKDDJ_00090	CDS	519				hypothetical protein
BOLPKDDJ_00091	gene	1497				
BOLPKDDJ_00091	mRNA	1497				
BOLPKDDJ_00091	CDS	1497				hypothetical protein
BOLPKDDJ_00092	gene	489	hcp1_1			
BOLPKDDJ_00092	mRNA	489	hcp1_1			
BOLPKDDJ_00092	CDS	489	hcp1_1		COG3157	Protein hcp1
BOLPKDDJ_00093	gene	786				
BOLPKDDJ_00093	mRNA	786				
BOLPKDDJ_00093	CDS	786				hypothetical protein
BOLPKDDJ_00094	gene	510				
BOLPKDDJ_00094	mRNA	510				
BOLPKDDJ_00094	CDS	510				hypothetical protein
BOLPKDDJ_00095	gene	1860				
BOLPKDDJ_00095	mRNA	1860				
BOLPKDDJ_00095	CDS	1860				hypothetical protein
BOLPKDDJ_00096	gene	1047				
BOLPKDDJ_00096	mRNA	1047				
BOLPKDDJ_00096	CDS	1047				hypothetical protein
BOLPKDDJ_00097	gene	2709	clpV1_1			
BOLPKDDJ_00097	mRNA	2709	clpV1_1			
BOLPKDDJ_00097	CDS	2709	clpV1_1		COG0542	Protein ClpV1
BOLPKDDJ_00098	gene	1941	vgrG1_1			
BOLPKDDJ_00098	mRNA	1941	vgrG1_1			
BOLPKDDJ_00098	CDS	1941	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
BOLPKDDJ_00099	gene	285				
BOLPKDDJ_00099	mRNA	285				
BOLPKDDJ_00099	CDS	285				hypothetical protein
BOLPKDDJ_00100	gene	1293				
BOLPKDDJ_00100	mRNA	1293				
BOLPKDDJ_00100	CDS	1293				hypothetical protein
BOLPKDDJ_00101	gene	435				
BOLPKDDJ_00101	mRNA	435				
BOLPKDDJ_00101	CDS	435				hypothetical protein
BOLPKDDJ_00102	gene	2226				
BOLPKDDJ_00102	mRNA	2226				
BOLPKDDJ_00102	CDS	2226				hypothetical protein
BOLPKDDJ_00103	gene	450				
BOLPKDDJ_00103	mRNA	450				
BOLPKDDJ_00103	CDS	450				hypothetical protein
BOLPKDDJ_00104	gene	1113				
BOLPKDDJ_00104	mRNA	1113				
BOLPKDDJ_00104	CDS	1113				hypothetical protein
BOLPKDDJ_00105	gene	1038				
BOLPKDDJ_00105	mRNA	1038				
BOLPKDDJ_00105	CDS	1038				hypothetical protein
BOLPKDDJ_00106	gene	1161				
BOLPKDDJ_00106	mRNA	1161				
BOLPKDDJ_00106	CDS	1161				hypothetical protein
BOLPKDDJ_00107	gene	921				
BOLPKDDJ_00107	mRNA	921				
BOLPKDDJ_00107	CDS	921				hypothetical protein
BOLPKDDJ_00108	gene	1248				
BOLPKDDJ_00108	mRNA	1248				
BOLPKDDJ_00108	CDS	1248				hypothetical protein
BOLPKDDJ_00109	gene	729	cynT_1			
BOLPKDDJ_00109	mRNA	729	cynT_1			
BOLPKDDJ_00109	CDS	729	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
BOLPKDDJ_00110	gene	1572				
BOLPKDDJ_00110	mRNA	1572				
BOLPKDDJ_00110	CDS	1572				hypothetical protein
BOLPKDDJ_00111	gene	639				
BOLPKDDJ_00111	mRNA	639				
BOLPKDDJ_00111	CDS	639				hypothetical protein
BOLPKDDJ_00112	gene	1101				
BOLPKDDJ_00112	mRNA	1101				
BOLPKDDJ_00112	CDS	1101				hypothetical protein
BOLPKDDJ_00113	gene	1593	ctaD			
BOLPKDDJ_00113	mRNA	1593	ctaD			
BOLPKDDJ_00113	CDS	1593	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
BOLPKDDJ_00114	gene	555	ctaG			
BOLPKDDJ_00114	mRNA	555	ctaG			
BOLPKDDJ_00114	CDS	555	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
BOLPKDDJ_00115	gene	888	ctaE			
BOLPKDDJ_00115	mRNA	888	ctaE			
BOLPKDDJ_00115	CDS	888	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
BOLPKDDJ_00116	gene	210				
BOLPKDDJ_00116	mRNA	210				
BOLPKDDJ_00116	CDS	210				hypothetical protein
BOLPKDDJ_00117	gene	795				
BOLPKDDJ_00117	mRNA	795				
BOLPKDDJ_00117	CDS	795				hypothetical protein
BOLPKDDJ_00118	gene	579				
BOLPKDDJ_00118	mRNA	579				
BOLPKDDJ_00118	CDS	579				hypothetical protein
BOLPKDDJ_00119	gene	1074	ctaA			
BOLPKDDJ_00119	mRNA	1074	ctaA			
BOLPKDDJ_00119	CDS	1074	ctaA	1.3.-.-		Heme A synthase
BOLPKDDJ_00120	gene	915	ctaB			
BOLPKDDJ_00120	mRNA	915	ctaB			
BOLPKDDJ_00120	CDS	915	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
BOLPKDDJ_00121	gene	636				
BOLPKDDJ_00121	mRNA	636				
BOLPKDDJ_00121	CDS	636				hypothetical protein
BOLPKDDJ_00122	gene	453	elaA			
BOLPKDDJ_00122	mRNA	453	elaA			
BOLPKDDJ_00122	CDS	453	elaA		COG2153	Protein ElaA
BOLPKDDJ_00123	gene	474				
BOLPKDDJ_00123	mRNA	474				
BOLPKDDJ_00123	CDS	474			COG1733	putative HTH-type transcriptional regulator
BOLPKDDJ_00124	gene	729				
BOLPKDDJ_00124	mRNA	729				
BOLPKDDJ_00124	CDS	729				hypothetical protein
BOLPKDDJ_00125	gene	588	nsaD			
BOLPKDDJ_00125	mRNA	588	nsaD			
BOLPKDDJ_00125	CDS	588	nsaD	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
BOLPKDDJ_00126	gene	1335	dctA			
BOLPKDDJ_00126	mRNA	1335	dctA			
BOLPKDDJ_00126	CDS	1335	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
BOLPKDDJ_00127	gene	687	lldR_1			
BOLPKDDJ_00127	mRNA	687	lldR_1			
BOLPKDDJ_00127	CDS	687	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
BOLPKDDJ_00128	gene	735				
BOLPKDDJ_00128	mRNA	735				
BOLPKDDJ_00128	CDS	735				hypothetical protein
BOLPKDDJ_00129	gene	411				
BOLPKDDJ_00129	mRNA	411				
BOLPKDDJ_00129	CDS	411				hypothetical protein
BOLPKDDJ_00130	gene	909	dmlR_2			
BOLPKDDJ_00130	mRNA	909	dmlR_2			
BOLPKDDJ_00130	CDS	909	dmlR_2			HTH-type transcriptional regulator DmlR
BOLPKDDJ_00131	gene	282				
BOLPKDDJ_00131	mRNA	282				
BOLPKDDJ_00131	CDS	282				hypothetical protein
BOLPKDDJ_00132	gene	228				
BOLPKDDJ_00132	mRNA	228				
BOLPKDDJ_00132	CDS	228				hypothetical protein
BOLPKDDJ_00133	gene	690				
BOLPKDDJ_00133	mRNA	690				
BOLPKDDJ_00133	CDS	690				hypothetical protein
BOLPKDDJ_00134	gene	501				
BOLPKDDJ_00134	mRNA	501				
BOLPKDDJ_00134	CDS	501				hypothetical protein
BOLPKDDJ_00135	gene	342				
BOLPKDDJ_00135	mRNA	342				
BOLPKDDJ_00135	CDS	342				hypothetical protein
BOLPKDDJ_00136	gene	1428	bauD			
BOLPKDDJ_00136	mRNA	1428	bauD			
BOLPKDDJ_00136	CDS	1428	bauD		COG1113	putative GABA permease
BOLPKDDJ_00137	gene	1494	bauC			
BOLPKDDJ_00137	mRNA	1494	bauC			
BOLPKDDJ_00137	CDS	1494	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
BOLPKDDJ_00138	gene	288	bauB			
BOLPKDDJ_00138	mRNA	288	bauB			
BOLPKDDJ_00138	CDS	288	bauB			Beta-alanine degradation protein BauB
BOLPKDDJ_00139	gene	1347	bauA_1			
BOLPKDDJ_00139	mRNA	1347	bauA_1			
BOLPKDDJ_00139	CDS	1347	bauA_1	2.6.1.18	COG0161	Beta-alanine--pyruvate aminotransferase
BOLPKDDJ_00140	gene	918				
BOLPKDDJ_00140	mRNA	918				
BOLPKDDJ_00140	CDS	918				hypothetical protein
BOLPKDDJ_00141	gene	1299	guaD_1			
BOLPKDDJ_00141	mRNA	1299	guaD_1			
BOLPKDDJ_00141	CDS	1299	guaD_1	3.5.4.3	COG0402	Guanine deaminase
BOLPKDDJ_00142	gene	945				
BOLPKDDJ_00142	mRNA	945				
BOLPKDDJ_00142	CDS	945				hypothetical protein
BOLPKDDJ_00143	gene	1572	mglA			
BOLPKDDJ_00143	mRNA	1572	mglA			
BOLPKDDJ_00143	CDS	1572	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
BOLPKDDJ_00144	gene	1098				
BOLPKDDJ_00144	mRNA	1098				
BOLPKDDJ_00144	CDS	1098				hypothetical protein
BOLPKDDJ_00145	gene	927				
BOLPKDDJ_00145	mRNA	927				
BOLPKDDJ_00145	CDS	927				hypothetical protein
BOLPKDDJ_00146	gene	564	ahpC_1			
BOLPKDDJ_00146	mRNA	564	ahpC_1			
BOLPKDDJ_00146	CDS	564	ahpC_1	1.11.1.15		Alkyl hydroperoxide reductase C
BOLPKDDJ_00147	gene	1566	ahpF			
BOLPKDDJ_00147	mRNA	1566	ahpF			
BOLPKDDJ_00147	CDS	1566	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
BOLPKDDJ_00148	gene	1074	ppk2			
BOLPKDDJ_00148	mRNA	1074	ppk2			
BOLPKDDJ_00148	CDS	1074	ppk2	2.7.4.1	COG2326	Polyphosphate:ADP/GDP phosphotransferase
BOLPKDDJ_00149	gene	1350				
BOLPKDDJ_00149	mRNA	1350				
BOLPKDDJ_00149	CDS	1350		3.5.4.32	COG0402	8-oxoguanine deaminase
BOLPKDDJ_00150	gene	1053	rihB			
BOLPKDDJ_00150	mRNA	1053	rihB			
BOLPKDDJ_00150	CDS	1053	rihB	3.2.2.8	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihB
BOLPKDDJ_00151	gene	627				
BOLPKDDJ_00151	mRNA	627				
BOLPKDDJ_00151	CDS	627				hypothetical protein
BOLPKDDJ_00152	gene	519				
BOLPKDDJ_00152	mRNA	519				
BOLPKDDJ_00152	CDS	519				hypothetical protein
BOLPKDDJ_00153	gene	1098				
BOLPKDDJ_00153	mRNA	1098				
BOLPKDDJ_00153	CDS	1098				Purine-binding protein
BOLPKDDJ_00154	gene	963	vldW_1			
BOLPKDDJ_00154	mRNA	963	vldW_1			
BOLPKDDJ_00154	CDS	963	vldW_1	1.14.11.52		Validamycin A dioxygenase
BOLPKDDJ_00155	gene	951				
BOLPKDDJ_00155	mRNA	951				
BOLPKDDJ_00155	CDS	951		3.5.4.2	COG1816	Adenine deaminase
BOLPKDDJ_00156	gene	633				
BOLPKDDJ_00156	mRNA	633				
BOLPKDDJ_00156	CDS	633				hypothetical protein
BOLPKDDJ_00157	gene	996				
BOLPKDDJ_00157	mRNA	996				
BOLPKDDJ_00157	CDS	996				hypothetical protein
BOLPKDDJ_00158	gene	2388	cntO_1			
BOLPKDDJ_00158	mRNA	2388	cntO_1			
BOLPKDDJ_00158	CDS	2388	cntO_1			Metal-pseudopaline receptor CntO
BOLPKDDJ_00159	gene	918	gbpR_1			
BOLPKDDJ_00159	mRNA	918	gbpR_1			
BOLPKDDJ_00159	CDS	918	gbpR_1			HTH-type transcriptional regulator GbpR
BOLPKDDJ_00160	gene	720	pcaH			
BOLPKDDJ_00160	mRNA	720	pcaH			
BOLPKDDJ_00160	CDS	720	pcaH	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase beta chain
BOLPKDDJ_00161	gene	606	pcaG			
BOLPKDDJ_00161	mRNA	606	pcaG			
BOLPKDDJ_00161	CDS	606	pcaG	1.13.11.3	COG3485	Protocatechuate 3,4-dioxygenase alpha chain
BOLPKDDJ_00162	gene	840	pcaR_1			
BOLPKDDJ_00162	mRNA	840	pcaR_1			
BOLPKDDJ_00162	CDS	840	pcaR_1		COG1414	Pca regulon regulatory protein
BOLPKDDJ_00163	gene	1104	mdtA_1			
BOLPKDDJ_00163	mRNA	1104	mdtA_1			
BOLPKDDJ_00163	CDS	1104	mdtA_1			Multidrug resistance protein MdtA
BOLPKDDJ_00164	gene	1071	mdtE			
BOLPKDDJ_00164	mRNA	1071	mdtE			
BOLPKDDJ_00164	CDS	1071	mdtE			Multidrug resistance protein MdtE
BOLPKDDJ_00165	gene	3048	swrC			
BOLPKDDJ_00165	mRNA	3048	swrC			
BOLPKDDJ_00165	CDS	3048	swrC		COG0841	Swarming motility protein SwrC
BOLPKDDJ_00166	gene	939	dmlR_3			
BOLPKDDJ_00166	mRNA	939	dmlR_3			
BOLPKDDJ_00166	CDS	939	dmlR_3			HTH-type transcriptional regulator DmlR
BOLPKDDJ_00167	gene	186				
BOLPKDDJ_00167	mRNA	186				
BOLPKDDJ_00167	CDS	186				hypothetical protein
BOLPKDDJ_00168	gene	1335	oprD_1			
BOLPKDDJ_00168	mRNA	1335	oprD_1			
BOLPKDDJ_00168	CDS	1335	oprD_1	3.4.21.-		Porin D
BOLPKDDJ_00169	gene	798	nimR_1			
BOLPKDDJ_00169	mRNA	798	nimR_1			
BOLPKDDJ_00169	CDS	798	nimR_1			HTH-type transcriptional regulator NimR
BOLPKDDJ_00170	gene	1617	ywrD			
BOLPKDDJ_00170	mRNA	1617	ywrD			
