#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
AJO87065.1	1028803.GG9_1539	5.27e-263	723.0	COG1914@1|root,COG1914@2|Bacteria,1P45T@1224|Proteobacteria,1RPT0@1236|Gammaproteobacteria,1Y7UX@135625|Pasteurellales	135625|Pasteurellales	P	Natural resistance-associated macrophage protein	Z012_10790	-	-	-	-	-	-	-	-	-	-	-	Nramp
AJO87066.1	71421.HI_1727	0.0	893.0	COG0137@1|root,COG0137@2|Bacteria,1MV0Y@1224|Proteobacteria,1RMEC@1236|Gammaproteobacteria,1Y6VS@135625|Pasteurellales	135625|Pasteurellales	E	Belongs to the argininosuccinate synthase family. Type 2 subfamily	argG	GO:0000050,GO:0000053,GO:0003674,GO:0003824,GO:0004055,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006575,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0019627,GO:0019752,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:0072350,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	6.3.4.5	ko:K01940	ko00220,ko00250,ko01100,ko01110,ko01130,ko01230,ko05418,map00220,map00250,map01100,map01110,map01130,map01230,map05418	M00029,M00844,M00845	R01954	RC00380,RC00629	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Arginosuc_synth
AJO87067.1	71421.HI_1726	1.43e-210	582.0	COG0152@1|root,COG0152@2|Bacteria,1MUR9@1224|Proteobacteria,1RNNY@1236|Gammaproteobacteria,1Y7MN@135625|Pasteurellales	135625|Pasteurellales	F	Belongs to the SAICAR synthetase family	purC	GO:0003674,GO:0003824,GO:0004639,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006163,GO:0006164,GO:0006188,GO:0006189,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046040,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.2.6	ko:K01923	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130	M00048	R04591	RC00064,RC00162	ko00000,ko00001,ko00002,ko01000	-	-	-	SAICAR_synt
AJO87068.1	71421.HI_1725	0.0	1545.0	COG0744@1|root,COG0744@2|Bacteria,1QTST@1224|Proteobacteria,1RNHV@1236|Gammaproteobacteria,1Y7N3@135625|Pasteurellales	135625|Pasteurellales	M	Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits)	mrcB	-	2.4.1.129,3.4.16.4	ko:K05365	ko00550,map00550	-	R04519	RC00005,RC00049	ko00000,ko00001,ko01000,ko01003,ko01011	-	GT51	-	Transgly,Transpeptidase,UB2H
AJO87069.1	71421.HI_1724	9.28e-89	260.0	COG3112@1|root,COG3112@2|Bacteria,1RH38@1224|Proteobacteria,1S6EG@1236|Gammaproteobacteria,1Y952@135625|Pasteurellales	135625|Pasteurellales	S	Belongs to the UPF0231 family	Z012_02485	-	-	ko:K09910	-	-	-	-	ko00000	-	-	-	UPF0231
AJO87070.1	71421.HI_1723	1.12e-76	228.0	COG0316@1|root,COG0316@2|Bacteria,1RHCW@1224|Proteobacteria,1S675@1236|Gammaproteobacteria,1Y8PK@135625|Pasteurellales	135625|Pasteurellales	C	iron--sulfur cluster insertion protein erpA	erpA	GO:0003674,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016043,GO:0016226,GO:0019538,GO:0022607,GO:0031163,GO:0043167,GO:0043169,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0048037,GO:0051186,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0071704,GO:0071840,GO:1901564	-	ko:K15724	-	-	-	-	ko00000	-	-	-	Fe-S_biosyn
AJO87071.1	71421.HI_1722	1.03e-195	542.0	COG0024@1|root,COG0024@2|Bacteria,1MU99@1224|Proteobacteria,1RMHN@1236|Gammaproteobacteria,1Y762@135625|Pasteurellales	135625|Pasteurellales	E	Methionine aminopeptidase	map	-	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
AJO87072.1	71421.HI_1719	0.0	1630.0	COG2844@1|root,COG2844@2|Bacteria,1MV54@1224|Proteobacteria,1RN5T@1236|Gammaproteobacteria,1Y6YW@135625|Pasteurellales	135625|Pasteurellales	O	Modifies, by uridylylation and deuridylylation, the PII regulatory proteins (GlnB and homologs), in response to the nitrogen status of the cell that GlnD senses through the glutamine level. Under low glutamine levels, catalyzes the conversion of the PII proteins and UTP to PII-UMP and PPi, while under higher glutamine levels, GlnD hydrolyzes PII-UMP to PII and UMP (deuridylylation). Thus, controls uridylylation state and activity of the PII proteins, and plays an important role in the regulation of nitrogen	glnD	-	2.7.7.59	ko:K00990	ko02020,map02020	-	-	-	ko00000,ko00001,ko01000	-	-	-	ACT,DUF294,GlnD_UR_UTase,HD,NTP_transf_2
AJO87073.1	71421.HI_1716	2.82e-239	659.0	COG0472@1|root,COG0472@2|Bacteria,1MWYW@1224|Proteobacteria,1RNAP@1236|Gammaproteobacteria,1Y6Y9@135625|Pasteurellales	135625|Pasteurellales	M	Catalyzes the transfer of the GlcNAc-1-phosphate moiety from UDP-GlcNAc onto the carrier lipid undecaprenyl phosphate (C55-P), yielding GlcNAc-pyrophosphoryl-undecaprenyl (GlcNAc-PP- C55)	wecA	GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009274,GO:0009276,GO:0009987,GO:0016043,GO:0016051,GO:0016740,GO:0016772,GO:0016780,GO:0030145,GO:0030312,GO:0030313,GO:0031975,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0045229,GO:0046872,GO:0046914,GO:0070589,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071944,GO:1901135,GO:1901137,GO:1901576,GO:1903509	2.7.8.33,2.7.8.35	ko:K02851	-	-	R08856	RC00002	ko00000,ko01000,ko01003,ko01005	-	-	-	Glycos_transf_4
AJO87074.1	1028803.GG9_1529	9.75e-131	370.0	COG1949@1|root,COG1949@2|Bacteria,1R9WX@1224|Proteobacteria,1S217@1236|Gammaproteobacteria,1Y7KB@135625|Pasteurellales	135625|Pasteurellales	A	3'-to-5' exoribonuclease specific for small oligoribonucleotides	orn	GO:0000175,GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0140098,GO:1901360	-	ko:K13288	ko03008,map03008	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03019	-	-	-	RNase_T
AJO87075.1	71421.HI_1714	1.59e-245	674.0	COG1162@1|root,COG1162@2|Bacteria,1MUEF@1224|Proteobacteria,1RMMB@1236|Gammaproteobacteria,1Y7MZ@135625|Pasteurellales	135625|Pasteurellales	S	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit	rsgA	-	3.1.3.100	ko:K06949	ko00730,ko01100,map00730,map01100	-	R00615,R02135	RC00002,RC00017	ko00000,ko00001,ko01000,ko03009	-	-	-	RsgA_GTPase
AJO87076.1	71421.HI_1713	6.52e-49	156.0	COG1925@1|root,COG1925@2|Bacteria,1N0CV@1224|Proteobacteria,1S9R2@1236|Gammaproteobacteria,1Y8ST@135625|Pasteurellales	135625|Pasteurellales	G	Phosphocarrier protein HPr	ptsH	-	-	ko:K02784	ko02060,map02060	-	-	-	ko00000,ko00001,ko02000	8.A.8.1.1	-	-	PTS-HPr
AJO87077.1	71421.HI_1712	0.0	1088.0	COG1080@1|root,COG1080@2|Bacteria,1MUT8@1224|Proteobacteria,1RN6R@1236|Gammaproteobacteria,1Y7PQ@135625|Pasteurellales	135625|Pasteurellales	G	General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr)	ptsI	-	2.7.3.9	ko:K08483	ko02060,map02060	-	-	-	ko00000,ko00001,ko01000,ko02000	8.A.7	-	-	PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C
AJO87078.1	71421.HI_1711	1.03e-106	308.0	COG2190@1|root,COG2190@2|Bacteria,1MWIQ@1224|Proteobacteria,1RNE3@1236|Gammaproteobacteria,1Y70F@135625|Pasteurellales	135625|Pasteurellales	G	Glucose-specific phosphotransferase enzyme IIA component	crr	-	-	ko:K02777	ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111	M00265,M00266,M00268,M00270,M00272,M00303,M00806	R02738,R02780,R04111,R04394,R05132,R08559	RC00017,RC03206	ko00000,ko00001,ko00002,ko01000,ko02000	4.A.1.1.1	-	-	PTS_EIIA_1
AJO87080.1	1028803.GG9_1105	7.64e-76	227.0	COG3111@1|root,COG3111@2|Bacteria,1N9HJ@1224|Proteobacteria,1SCD7@1236|Gammaproteobacteria,1Y9E5@135625|Pasteurellales	135625|Pasteurellales	S	Bacterial OB fold (BOF) protein	-	-	-	-	-	-	-	-	-	-	-	-	BOF
AJO87081.1	71421.HI_1708	4.48e-153	430.0	COG0745@1|root,COG0745@2|Bacteria,1N0YI@1224|Proteobacteria,1RQQ3@1236|Gammaproteobacteria,1YA12@135625|Pasteurellales	135625|Pasteurellales	K	Protein involved in DNA binding, two-component response regulator activity, regulation of transcription DNA-dependent and two-component signal transduction system (phosphorelay)	qseB	-	-	ko:K07666	ko02020,ko02024,map02020,map02024	M00453	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,Trans_reg_C
AJO87082.1	71421.HI_1707	7.08e-293	803.0	COG0642@1|root,COG0642@2|Bacteria,1QTSX@1224|Proteobacteria,1T1G3@1236|Gammaproteobacteria,1Y8AI@135625|Pasteurellales	135625|Pasteurellales	T	Sensor protein qseC	qseC	-	2.7.13.3	ko:K07645	ko02020,ko02024,map02020,map02024	M00453	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	2CSK_N,HATPase_c,HisKA
AJO87083.1	71421.HI_1706	0.0	1249.0	COG1292@1|root,COG1292@2|Bacteria,1MV0K@1224|Proteobacteria,1RP3E@1236|Gammaproteobacteria,1Y7AG@135625|Pasteurellales	135625|Pasteurellales	M	Belongs to the BCCT transporter (TC 2.A.15) family	Z012_02990	GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0044464,GO:0051179,GO:0051234,GO:0071705,GO:0071944	-	ko:K02168	-	-	-	-	ko00000,ko02000	2.A.15.1.3,2.A.15.1.4	-	-	BCCT
AJO87084.1	1028803.GG9_1512	0.0	951.0	COG0260@1|root,COG0260@2|Bacteria,1MUF9@1224|Proteobacteria,1RNM1@1236|Gammaproteobacteria,1Y76A@135625|Pasteurellales	135625|Pasteurellales	E	Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides	pepA	-	3.4.11.1	ko:K01255	ko00480,ko01100,map00480,map01100	-	R00899,R04951	RC00096,RC00141	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_M17,Peptidase_M17_N
AJO87085.1	71421.HI_1704	5.44e-242	667.0	COG0795@1|root,COG0795@2|Bacteria,1MUF2@1224|Proteobacteria,1RMN5@1236|Gammaproteobacteria,1Y7TG@135625|Pasteurellales	135625|Pasteurellales	S	Lipopolysaccharide export system permease protein LptF	lptF	-	-	ko:K07091	ko02010,map02010	M00320	-	-	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	-	YjgP_YjgQ
AJO87086.1	71421.HI_1703	2.15e-240	662.0	COG0795@1|root,COG0795@2|Bacteria,1MVW3@1224|Proteobacteria,1RM8H@1236|Gammaproteobacteria,1Y7UZ@135625|Pasteurellales	135625|Pasteurellales	S	Lipopolysaccharide export system permease protein lptG of Gammaproteobacteria UniRef RepID	lptG	-	-	ko:K11720	ko02010,map02010	M00320	-	-	ko00000,ko00001,ko00002,ko02000	1.B.42.1	-	-	YjgP_YjgQ
AJO87087.1	71421.HI_1702	0.0	1487.0	COG0620@1|root,COG0620@2|Bacteria,1MUI9@1224|Proteobacteria,1RMBA@1236|Gammaproteobacteria,1Y7V7@135625|Pasteurellales	135625|Pasteurellales	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation	metE	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0003871,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008172,GO:0008652,GO:0008705,GO:0009058,GO:0009066,GO:0009067,GO:0009086,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0019752,GO:0032259,GO:0042084,GO:0042085,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0050667,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.1.1.14	ko:K00549	ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230	M00017	R04405,R09365	RC00035,RC00113,RC01241	ko00000,ko00001,ko00002,ko01000	-	-	-	Meth_synt_2
AJO87088.1	71421.HI_1701	2.04e-171	479.0	COG1434@1|root,COG1434@2|Bacteria,1MVW8@1224|Proteobacteria,1S92A@1236|Gammaproteobacteria,1Y7C9@135625|Pasteurellales	135625|Pasteurellales	S	Molybdate ABC transporter permease protein of Pasteurellaceae UniRef RepID C6ANN6_AGGAN	Z012_07930	GO:0000270,GO:0005575,GO:0005623,GO:0005886,GO:0006022,GO:0006807,GO:0008150,GO:0008152,GO:0009273,GO:0009987,GO:0016020,GO:0016021,GO:0030203,GO:0031224,GO:0042546,GO:0043164,GO:0043170,GO:0044085,GO:0044425,GO:0044464,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:1901135,GO:1901564	-	-	-	-	-	-	-	-	-	-	DUF218
AJO87089.1	1028805.GGC_0394	3.49e-270	741.0	COG2244@1|root,COG2244@2|Bacteria,1QZC3@1224|Proteobacteria,1RR83@1236|Gammaproteobacteria,1Y6SI@135625|Pasteurellales	135625|Pasteurellales	S	protein involved in	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_synt
AJO87090.1	71421.HI_1699	1.37e-218	603.0	28MFQ@1|root,2ZAT3@2|Bacteria,1N94Z@1224|Proteobacteria,1SAY4@1236|Gammaproteobacteria,1Y87P@135625|Pasteurellales	135625|Pasteurellales	F	Glycosyltransferase family 52	-	-	-	ko:K00785	-	-	-	-	ko00000,ko01000,ko01003	-	GT52	-	Glyco_transf_52
AJO87091.1	1028806.GGE_0613	4.76e-246	676.0	COG0438@1|root,COG0438@2|Bacteria,1QFQQ@1224|Proteobacteria,1S257@1236|Gammaproteobacteria,1YACE@135625|Pasteurellales	135625|Pasteurellales	M	Protein involved in biosynthetic process	-	GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008194,GO:0008378,GO:0008610,GO:0008653,GO:0008921,GO:0009058,GO:0009059,GO:0009103,GO:0009987,GO:0016051,GO:0016740,GO:0016757,GO:0016758,GO:0033692,GO:0034637,GO:0034645,GO:0035250,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	-	-	-	-	-	-	-	-	-	-	Glyco_transf_4,Glycos_transf_1
AJO87092.1	1028803.GG9_1118	8.64e-178	496.0	COG3306@1|root,COG3306@2|Bacteria,1RHJP@1224|Proteobacteria,1S8FQ@1236|Gammaproteobacteria,1Y7UE@135625|Pasteurellales	135625|Pasteurellales	M	Glycosyltransferase involved in LPS biosynthesis	-	-	-	ko:K07270	-	-	-	-	ko00000	-	GT25	-	Glyco_transf_25
AJO87093.1	71421.HI_1696	1.04e-192	536.0	COG1216@1|root,COG1216@2|Bacteria,1NAPC@1224|Proteobacteria,1SYJ9@1236|Gammaproteobacteria,1YAWM@135625|Pasteurellales	135625|Pasteurellales	S	glycosyl transferase family 2	-	GO:0003674,GO:0003824,GO:0016740,GO:0016757	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
AJO87094.1	71421.HI_1695	1.19e-189	526.0	COG1216@1|root,COG1216@2|Bacteria,1QUHK@1224|Proteobacteria,1T1Z9@1236|Gammaproteobacteria,1YAYU@135625|Pasteurellales	135625|Pasteurellales	S	Glycosyltransferase like family 2	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
AJO87095.1	71421.HI_1694	2.12e-177	494.0	COG2005@1|root,COG2005@2|Bacteria,1P9SX@1224|Proteobacteria,1RMES@1236|Gammaproteobacteria,1Y7Z7@135625|Pasteurellales	135625|Pasteurellales	H	Protein involved in ATP binding, hydrolase activity acting on acid anhydrides catalyzing transmembrane movement of substances, molybdate ion transmembrane transporter activity, molybdate transmembrane-transporting ATPase activity, molybdenum ion binding, sequence-specific DNA binding transcription factor activity, transporter activity, molybdate ion transport, regulation of transcription DNA-dependent and transport	modE	-	-	ko:K02019	-	-	-	-	ko00000,ko03000	-	-	-	HTH_1,TOBE
AJO87096.1	1028803.GG9_1520	1.73e-171	479.0	COG0725@1|root,COG0725@2|Bacteria,1MVNA@1224|Proteobacteria,1RN71@1236|Gammaproteobacteria,1Y70D@135625|Pasteurellales	135625|Pasteurellales	P	Molybdate-binding periplasmic protein	modA	GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0030288,GO:0030313,GO:0030973,GO:0031975,GO:0042597,GO:0043167,GO:0043168,GO:0044464	-	ko:K02020	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.8	-	-	SBP_bac_11
AJO87097.1	1028803.GG9_1519	3.63e-150	424.0	COG4149@1|root,COG4149@2|Bacteria,1MUXR@1224|Proteobacteria,1RRDV@1236|Gammaproteobacteria,1Y6VF@135625|Pasteurellales	135625|Pasteurellales	P	Molybdenum transport system permease protein ModB	modB	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K02018	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.8	-	-	BPD_transp_1
AJO87098.1	71421.HI_1691	6.46e-243	668.0	COG4148@1|root,COG4148@2|Bacteria,1MU8K@1224|Proteobacteria,1RQCV@1236|Gammaproteobacteria,1Y6V1@135625|Pasteurellales	135625|Pasteurellales	P	Part of the ABC transporter complex ModABC involved in molybdenum import. Responsible for energy coupling to the transport system	modC	-	3.6.3.29	ko:K02017	ko02010,map02010	M00189	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.8	-	-	ABC_tran,TOBE
AJO87099.1	71421.HI_1690	3.71e-314	857.0	COG0733@1|root,COG0733@2|Bacteria,1MUZJ@1224|Proteobacteria,1RPCT@1236|Gammaproteobacteria,1Y820@135625|Pasteurellales	135625|Pasteurellales	S	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family	-	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03308	-	-	-	-	ko00000	2.A.22.4,2.A.22.5	-	-	SNF
