#query seed_ortholog evalue score eggNOG_OGs max_annot_lvl COG_category Description Preferred_name GOs EC KEGG_ko KEGG_Pathway KEGG_Module KEGG_Reaction KEGG_rclass BRITE KEGG_TC CAZy BiGG_Reaction PFAMs																																																																																																																																																																																																				
AAG03401.1 287.DR97_2964 7.94e-218 600.0 COG1560@1|root	COG1560@2|Bacteria	1Q41N@1224|Proteobacteria	1RRRE@1236|Gammaproteobacteria	1YEUA@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria M Bacterial lipid A biosynthesis acyltransferase htrB - 2.3.1.241 ko:K02517 ko00540	ko01100	map00540	map01100 M00060 R05146 RC00037	RC00039 ko00000	ko00001	ko00002	ko01000	ko01005 - - - Lip_A_acyltrans																																																																																																																																																																																								
AAG03402.1 287.DR97_2965 3.27e-57 177.0 2E9Z2@1|root	3344J@2|Bacteria	1N825@1224|Proteobacteria	1SE0S@1236|Gammaproteobacteria	1YGYP@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S PilZ domain - - - - - - - - - - - - PilZ																																																																																																																																																																																																
AAG03403.1 287.DR97_2966 2.13e-149 421.0 COG1738@1|root	COG1738@2|Bacteria	1MVQU@1224|Proteobacteria	1RNX0@1236|Gammaproteobacteria	1YFFG@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria U Involved in the import of queuosine (Q) precursors	required for Q precursor salvage yhhQ GO:0005575	GO:0005623	GO:0005886	GO:0006139	GO:0006725	GO:0006807	GO:0006810	GO:0008150	GO:0008152	GO:0008616	GO:0009058	GO:0009116	GO:0009119	GO:0009163	GO:0009987	GO:0016020	GO:0018130	GO:0019438	GO:0034404	GO:0034641	GO:0034654	GO:0042455	GO:0043094	GO:0043174	GO:0044237	GO:0044238	GO:0044249	GO:0044271	GO:0044281	GO:0044283	GO:0044464	GO:0046116	GO:0046483	GO:0051179	GO:0051234	GO:0055085	GO:0055086	GO:0071702	GO:0071704	GO:0071705	GO:0071944	GO:0072531	GO:1901135	GO:1901137	GO:1901360	GO:1901362	GO:1901564	GO:1901566	GO:1901576	GO:1901657	GO:1901659	GO:1990397 - ko:K09125 - - - - ko00000 - - - Vut_1																																																																																																																																												
AAG03405.1 287.DR97_2968 4.78e-69 208.0 COG3063@1|root	COG3063@2|Bacteria	1N24B@1224|Proteobacteria	1T0PC@1236|Gammaproteobacteria	1YKXW@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria NU Type IV pilus biogenesis stability protein PilW - - - - - - - - - - - - TPR_14	TPR_19	TPR_2	TPR_8																																																																																																																																																																																													
AAG03406.1 287.DR97_2969 6.85e-310 847.0 COG0569@1|root	COG0569@2|Bacteria	1MW8R@1224|Proteobacteria	1RNVQ@1236|Gammaproteobacteria	1YDXI@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P TrkA-N domain trkA GO:0003674	GO:0005215	GO:0005575	GO:0006810	GO:0006811	GO:0006812	GO:0006813	GO:0008150	GO:0008324	GO:0015075	GO:0015672	GO:0016020	GO:0022857	GO:0030001	GO:0034220	GO:0051179	GO:0051234	GO:0055085	GO:0098655 - ko:K03499 - - - - ko00000	ko02000 2.A.38.1	2.A.38.4 - iE2348C_1286.E2348C_3552 TrkA_C	TrkA_N																																																																																																																																																																											
AAG03407.1 287.DR97_2970 1.92e-316 861.0 COG0144@1|root	COG0144@2|Bacteria	1MWPE@1224|Proteobacteria	1RN8X@1236|Gammaproteobacteria	1YE4T@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria J Specifically methylates the cytosine at position 967 (m5C967) of 16S rRNA sun GO:0000154	GO:0001510	GO:0003674	GO:0003824	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006139	GO:0006364	GO:0006396	GO:0006725	GO:0006807	GO:0008150	GO:0008152	GO:0008168	GO:0008169	GO:0008173	GO:0008649	GO:0008757	GO:0009383	GO:0009451	GO:0009987	GO:0010467	GO:0016070	GO:0016072	GO:0016434	GO:0016740	GO:0016741	GO:0022613	GO:0031167	GO:0032259	GO:0034470	GO:0034641	GO:0034660	GO:0042254	GO:0043170	GO:0043412	GO:0043414	GO:0044085	GO:0044237	GO:0044238	GO:0044260	GO:0044424	GO:0044444	GO:0044464	GO:0046483	GO:0070475	GO:0071704	GO:0071840	GO:0090304	GO:0140098	GO:0140102	GO:1901360 2.1.1.176 ko:K03500 - - - - ko00000	ko01000	ko03009 - - - Methyltr_RsmB-F	Methyltr_RsmF_N	NusB																																																																																																																																						
AAG03408.1 287.DR97_2971 2.66e-221 610.0 COG0223@1|root	COG0223@2|Bacteria	1MU4Q@1224|Proteobacteria	1RP1T@1236|Gammaproteobacteria	1YE83@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria J Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus fmt GO:0003674	GO:0003824	GO:0004479	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006082	GO:0006139	GO:0006396	GO:0006399	GO:0006400	GO:0006412	GO:0006413	GO:0006418	GO:0006431	GO:0006464	GO:0006518	GO:0006520	GO:0006725	GO:0006807	GO:0008033	GO:0008150	GO:0008152	GO:0009058	GO:0009059	GO:0009451	GO:0009987	GO:0010467	GO:0016070	GO:0016740	GO:0016741	GO:0016742	GO:0019538	GO:0019752	GO:0019988	GO:0034470	GO:0034641	GO:0034645	GO:0034660	GO:0036211	GO:0043038	GO:0043039	GO:0043043	GO:0043170	GO:0043412	GO:0043436	GO:0043603	GO:0043604	GO:0044237	GO:0044238	GO:0044249	GO:0044260	GO:0044267	GO:0044271	GO:0044281	GO:0044424	GO:0044444	GO:0044464	GO:0046483	GO:0071704	GO:0071951	GO:0090304	GO:0140098	GO:0140101	GO:1901360	GO:1901564	GO:1901566	GO:1901576 2.1.2.9 ko:K00604 ko00670	ko00970	map00670	map00970 - R03940 RC00026	RC00165 ko00000	ko00001	ko01000 - - iECABU_c1320.ECABU_c37050	iECUMN_1333.ECUMN_3761	ic_1306.c4048 Formyl_trans_C	Formyl_trans_N																																																																																																																		
AAG03409.1 287.DR97_2972 1.26e-117 336.0 COG0242@1|root	COG0242@2|Bacteria	1RA2P@1224|Proteobacteria	1S247@1236|Gammaproteobacteria	1YDAH@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria J Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions def - 3.5.1.88 ko:K01462 - - - - ko00000	ko01000 - - - Pep_deformylase																																																																																																																																																																																															
AAG03410.1 287.DR97_2973 1.31e-246 677.0 COG1652@1|root	COG1652@2|Bacteria	1MUBV@1224|Proteobacteria	1RPMB@1236|Gammaproteobacteria	1YFA7@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S LysM domain lysM - - - - - - - - - - - LysM																																																																																																																																																																																																
AAG03411.1 287.DR97_2974 6.3e-251 689.0 COG0758@1|root	COG0758@2|Bacteria	1MVF6@1224|Proteobacteria	1RPJE@1236|Gammaproteobacteria	1YCZM@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria LU DNA protecting protein DprA smf - - ko:K04096 - - - - ko00000 - - - DNA_processg_A																																																																																																																																																																																																
AAG03412.1 287.DR97_2975 4.82e-137 387.0 COG0009@1|root	COG0009@2|Bacteria	1MVPM@1224|Proteobacteria	1S610@1236|Gammaproteobacteria	1YE97@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria J Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Catalyzes the conversion of L-threonine	HCO(3)(-) CO(2) and ATP to give threonylcarbamoyl-AMP (TC-AMP) as the acyladenylate intermediate	with the release of diphosphate tsaC GO:0000049	GO:0000166	GO:0002949	GO:0003674	GO:0003676	GO:0003723	GO:0003725	GO:0003824	GO:0005488	GO:0005524	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006139	GO:0006396	GO:0006399	GO:0006400	GO:0006450	GO:0006725	GO:0006807	GO:0008033	GO:0008144	GO:0008150	GO:0008152	GO:0009451	GO:0009987	GO:0010467	GO:0016070	GO:0016740	GO:0016772	GO:0016779	GO:0017076	GO:0030554	GO:0032553	GO:0032555	GO:0032559	GO:0034470	GO:0034641	GO:0034660	GO:0035639	GO:0036094	GO:0043167	GO:0043168	GO:0043170	GO:0043412	GO:0044237	GO:0044238	GO:0044424	GO:0044444	GO:0044464	GO:0046483	GO:0061710	GO:0065007	GO:0065008	GO:0070525	GO:0071704	GO:0090304	GO:0097159	GO:0097367	GO:1901265	GO:1901360	GO:1901363 2.7.7.87 ko:K07566 - - R10463 RC00745 ko00000	ko01000	ko03009	ko03016 - - - Sua5_yciO_yrdC																																																																																																																												
AAG03413.1 287.DR97_2976 2.41e-234 644.0 COG0604@1|root	COG0604@2|Bacteria	1MWBD@1224|Proteobacteria	1RPCQ@1236|Gammaproteobacteria	1YEJI@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C Zinc-binding dehydrogenase qor GO:0003674	GO:0003676	GO:0003723	GO:0003824	GO:0003960	GO:0005488	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006950	GO:0006979	GO:0008150	GO:0008152	GO:0009987	GO:0016491	GO:0016651	GO:0016655	GO:0017091	GO:0033554	GO:0034599	GO:0042221	GO:0044424	GO:0044444	GO:0044464	GO:0050896	GO:0051716	GO:0055114	GO:0070887	GO:0097159	GO:1901363 1.6.5.5 ko:K00344 - - - - ko00000	ko01000 - - - ADH_N	ADH_zinc_N																																																																																																																																																															
AAG03414.1 287.DR97_2977 1.4e-241 661.0 COG0408@1|root	COG0408@2|Bacteria	1MWMF@1224|Proteobacteria	1RMM8@1236|Gammaproteobacteria	1YEHF@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Involved in the heme biosynthesis. Catalyzes the aerobic oxidative decarboxylation of propionate groups of rings A and B of coproporphyrinogen-III to yield the vinyl groups in protoporphyrinogen-IX hemF GO:0003674	GO:0003824	GO:0004109	GO:0005488	GO:0005515	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0006725	GO:0006778	GO:0006779	GO:0006783	GO:0006807	GO:0008150	GO:0008152	GO:0009058	GO:0009987	GO:0016491	GO:0016627	GO:0016634	GO:0018130	GO:0019438	GO:0030145	GO:0033013	GO:0033014	GO:0034641	GO:0042168	GO:0042440	GO:0042802	GO:0042803	GO:0043167	GO:0043169	GO:0044237	GO:0044249	GO:0044271	GO:0044424	GO:0044464	GO:0046148	GO:0046483	GO:0046872	GO:0046906	GO:0046914	GO:0046983	GO:0051186	GO:0051188	GO:0055114	GO:0071704	GO:0097159	GO:1901360	GO:1901362	GO:1901363	GO:1901564	GO:1901566	GO:1901576 1.3.3.3 ko:K00228 ko00860	ko01100	ko01110	map00860	map01100	map01110 M00121 R03220 RC00884 ko00000	ko00001	ko00002	ko01000 - - iAF1260.b2436	iBWG_1329.BWG_2198	iECDH10B_1368.ECDH10B_2601	iECDH1ME8569_1439.ECDH1ME8569_2370	iETEC_1333.ETEC_2549	iEcDH1_1363.EcDH1_1225	iEcHS_1320.EcHS_A2573	iEcolC_1368.EcolC_1243	iJO1366.b2436	iJR904.b2436	iY75_1357.Y75_RS12760 Coprogen_oxidas																																																																																																																								
AAG03415.1 287.DR97_2978 9.85e-197 545.0 COG0169@1|root	COG0169@2|Bacteria	1MVH4@1224|Proteobacteria	1RPB7@1236|Gammaproteobacteria	1YD2Z@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Involved in the biosynthesis of the chorismate	which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA) aroE GO:0000166	GO:0003674	GO:0003824	GO:0004764	GO:0005488	GO:0005575	GO:0005622	GO:0005623	GO:0005737	GO:0005829	GO:0006082	GO:0008150	GO:0008152	GO:0009058	GO:0009423	GO:0009987	GO:0016053	GO:0016491	GO:0016614	GO:0016616	GO:0019632	GO:0019752	GO:0032787	GO:0036094	GO:0043436	GO:0043648	GO:0043650	GO:0044237	GO:0044249	GO:0044281	GO:0044283	GO:0044424	GO:0044444	GO:0044464	GO:0046394	GO:0046417	GO:0048037	GO:0050661	GO:0050662	GO:0055114	GO:0071704	GO:0097159	GO:1901265	GO:1901363	GO:1901576	GO:1901615 1.1.1.25 ko:K00014 ko00400	ko01100	ko01110	ko01130	ko01230	map00400	map01100	map01110	map01130	map01230 M00022 R02413 RC00206 ko00000	ko00001	ko00002	ko01000 - - iAPECO1_1312.APECO1_3165	iECOK1_1307.ECOK1_3701	iECS88_1305.ECS88_3669	iECUMN_1333.ECUMN_3755	iSBO_1134.SBO_3275	iUMN146_1321.UM146_16315	iUTI89_1310.UTI89_C3726 Shikimate_DH	Shikimate_dh_N																																																																																																																															
AAG03416.1 287.DR97_2979 9.61e-247 676.0 28HN1@1|root	2Z7WF@2|Bacteria	1R5H4@1224|Proteobacteria	1RN0K@1236|Gammaproteobacteria 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																	
AAG03417.1 287.DR97_2980 5.73e-301 822.0 COG0760@1|root	COG0760@2|Bacteria	1N0EW@1224|Proteobacteria	1SBG5@1236|Gammaproteobacteria 1236|Gammaproteobacteria O Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains	which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation - - - - - - - - - - - - Rotamase_2	Rotamase_3																																																																																																																																																																																															
AAG03418.1 287.DR97_2981 3.29e-78 236.0 28RZG@1|root	2ZEBD@2|Bacteria	1P43U@1224|Proteobacteria	1SVQQ@1236|Gammaproteobacteria 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																	
AAG03419.1 287.DR97_2982 0.0 975.0 COG0659@1|root	COG0659@2|Bacteria	1MWDF@1224|Proteobacteria	1SYC8@1236|Gammaproteobacteria	1YDQX@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Sulfate permease family - - - ko:K03321 - - - - ko00000	ko02000 2.A.53.3 - - STAS	STAS_2	Sulfate_transp																																																																																																																																																																																													
AAG03420.1 287.DR97_2983 2.49e-227 625.0 COG2113@1|root	COG2113@2|Bacteria	1MVIG@1224|Proteobacteria	1RRNK@1236|Gammaproteobacteria	1YF99@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E glycine betaine proX - - ko:K02002 ko02010	map02010 M00208 - - ko00000	ko00001	ko00002	ko02000 3.A.1.12 - - OpuAC																																																																																																																																																																																												
AAG03421.1 287.DR97_2984 0.0 1041.0 COG3119@1|root	COG3119@2|Bacteria	1MV0B@1224|Proteobacteria	1RMJ0@1236|Gammaproteobacteria	1YEXD@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Choline sulfatase enzyme C terminal betC - 3.1.6.6 ko:K01133 - - - - ko00000	ko01000 - - - Choline_sulf_C	DUF4976	Sulfatase																																																																																																																																																																																													
AAG03422.1 287.DR97_2985 1.33e-217 600.0 COG0583@1|root	COG0583@2|Bacteria	1R43D@1224|Proteobacteria	1S33J@1236|Gammaproteobacteria	1YDVV@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K LysR substrate binding domain - - - - - - - - - - - - HTH_1	LysR_substrate																																																																																																																																																																																															
